Timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,Replaced blade
0.63199997,-0.131668583,0.010206223,-884367,319.2901611,11467,728.7628174,0.64087671,1
0.63599997,-0.127325237,0.006401062,-884366,312.4237061,11470,733.7715454,0.630702555,1
0.63999997,-0.119774483,-0.001407623,-884365,319.2901611,11473,731.2672119,0.600493968,1
0.643999969,-0.122722588,0.000520706,-884363,308.9904785,11476,733.7715454,0.585311174,1
0.647999969,-0.105272226,-0.000165939,-884362,302.1240234,11479,736.2758179,0.573170781,1
0.651999969,-0.114240348,0.000762939,-884361,298.6907959,11482,723.7541504,0.571010768,1
0.655999969,-0.106891468,-0.001010895,-884360,298.6907959,11485,723.7540894,0.587883532,1
0.659999968,-0.109828427,0.000118256,-884358,298.6907959,11488,728.7628174,0.591733932,1
0.663999968,-0.088954195,-0.002709389,-884357,298.6907959,11491,736.276001,0.57855463,1
0.667999968,-0.100442849,-0.001243591,-884356,295.2575684,11494,726.258606,0.565412462,1
0.671999968,-0.096214481,-0.000969887,-884355,288.3911133,11497,726.2585449,0.554236889,1
0.675999967,-0.065724432,-0.007371902,-884354,288.3911133,11499,723.7541504,0.593147874,1
0.679999967,-0.080847494,-0.005239487,-884353,288.3911133,11502,728.7628174,0.630055606,1
0.683999967,-0.062725089,-0.001621246,-884351,281.5246582,11505,736.2758789,0.625891864,1
0.687999966,-0.063635491,-0.003277779,-884350,284.9578857,11508,726.2584839,0.626737058,1
0.691999966,-0.071462505,0.00353241,-884349,267.791748,11511,736.2758179,0.605581045,1
0.695999966,-0.066232741,0.000967026,-884348,274.6582031,11514,733.7714844,0.569361806,1
0.699999966,-0.072230935,-0.001350403,-884347,260.925293,11517,728.7628174,0.565198362,1
0.703999965,-0.069043837,-0.000667572,-884346,257.4920654,11520,721.2498169,0.583072782,1
0.707999965,-0.054610729,-0.001087189,-884345,264.3585205,11523,723.7542725,0.592933655,1
0.711999965,-0.068422608,0.002975464,-884344,260.925293,11526,723.7542114,0.595819294,1
0.715999965,-0.067519866,0.004491806,-884343,254.0588379,11529,726.2585449,0.612692058,1
0.719999964,-0.059386205,0.002186775,-884342,257.4920654,11531,726.2585449,0.634573758,1
0.723999964,-0.068677627,0.002937317,-884341,247.1923828,11534,726.2584229,0.64944309,1
0.727999964,-0.065526962,0.00538063,-884340,247.1923828,11537,736.2758179,0.634260535,1
0.731999963,-0.075955808,0.006782532,-884339,247.1923828,11540,728.7626953,0.616072655,1
0.735999963,-0.079021797,0.004406929,-884338,240.3259277,11543,726.2584839,0.622965217,1
0.739999963,-0.09903463,0.00787735,-884337,236.8927002,11546,726.2584839,0.621769726,1
0.743999963,-0.097071715,0.007673264,-884336,233.4594727,11549,728.7628784,0.624655366,1
0.747999962,-0.103198417,0.007764816,-884335,233.4594727,11552,728.7628174,0.630472064,1
0.751999962,-0.096134208,0.004125595,-884334,223.15979,11555,733.7716064,0.59829694,1
0.755999962,-0.104244485,0.002260208,-884333,230.0262451,11558,733.7717285,0.564118385,1
0.759999961,-0.105212837,-0.000565529,-884332,226.5930176,11561,726.2585449,0.547896922,1
0.763999961,-0.137538746,0.006646156,-884331,216.293335,11564,726.258728,0.564806819,1
0.767999961,-0.125748917,0.003310204,-884330,216.293335,11566,721.2497559,0.607687831,1
0.771999961,-0.119329043,0.003170013,-884330,216.293335,11569,726.2584839,0.633613408,1
0.77599996,-0.130115032,0.000746727,-884329,219.7265625,11572,728.7627563,0.63842839,1
0.77999996,-0.139885783,0.004362106,-884328,209.4268799,11575,728.7628174,0.63229835,1
0.78399996,-0.149603412,0.004276276,-884327,202.5604248,11578,726.2585449,0.61514926,1
0.78799996,-0.140043437,0.001944542,-884326,195.6939697,11581,728.7628174,0.594920814,1
0.791999959,-0.12692292,-0.001243591,-884325,202.5604248,11584,726.2585449,0.594801247,1
0.795999959,-0.125174582,-0.003902435,-884325,195.6939697,11587,731.2670898,0.592604101,1
0.799999959,-0.148868129,0.000845909,-884324,202.5604248,11590,728.7630005,0.59548974,1
0.803999958,-0.15485321,0.000595093,-884323,192.2607422,11593,728.7630005,0.594368458,1
0.807999958,-0.152776837,-0.000330925,-884322,181.9610596,11596,736.276001,0.577145219,1
0.811999958,-0.1616133,0.003445625,-884322,185.3942871,11598,731.2672729,0.563001394,1
0.815999958,-0.148854762,-0.004663467,-884321,188.8275146,11601,731.2670898,0.566814661,1
0.819999957,-0.148577467,-0.003795624,-884320,178.527832,11604,733.7713623,0.563689888,1
0.823999957,-0.195312932,0.005819321,-884319,171.661377,11607,731.2670288,0.584606767,1
0.827999957,-0.188243568,0.005208969,-884319,171.661377,11610,718.7453613,0.61847204,1
0.831999957,-0.160454825,-0.007219315,-884318,181.9610596,11613,726.2585449,0.631375015,1
0.835999956,-0.167910293,-0.003753662,-884317,178.527832,11616,718.7455444,0.652217746,1
0.839999956,-0.168603033,-0.002349854,-884317,164.7949219,11619,748.7977295,0.64508605,1
0.843999956,-0.15444167,-0.00584507,-884316,164.7949219,11622,733.7717285,0.60990572,1
0.847999955,-0.175797731,-0.001646042,-884315,164.7949219,11625,748.7977295,0.571646035,1
0.851999955,-0.188992754,0.000432968,-884315,151.0620117,11628,731.2674561,0.547484815,1
0.855999955,-0.161346152,-0.008990288,-884314,161.3616943,11631,716.241272,0.560313702,1
0.859999955,-0.16422914,-0.008137703,-884314,147.6287842,11633,728.7628174,0.584235847,1
0.863999954,-0.164057076,-0.005027771,-884313,157.9284668,11636,721.2497559,0.605152726,1
0.867999954,-0.177490219,0.002998352,-884312,144.1955566,11639,723.7540894,0.633007705,1
0.871999954,-0.182743445,0.000757217,-884312,144.1955566,11642,728.7628174,0.636895061,1
0.875999953,-0.144048214,-0.008796692,-884311,137.3291016,11645,728.7626953,0.622676849,1
0.879999953,-0.120573707,-0.010726929,-884311,137.3291016,11648,716.2410889,0.649604142,1
0.883999953,-0.167832747,0.000658035,-884310,130.4626465,11651,723.7542725,0.684471428,1
0.887999953,-0.171984568,-0.0008955,-884310,130.4626465,11654,736.276001,0.681346655,1
0.891999952,-0.17645739,-0.001461029,-884309,133.895874,11657,733.7717285,0.65618366,1
